"scenario_id","scenario_label","scenario_family","purpose","effect_source","theta_A","theta_B","gamma","method_id","claim_regime","adjustment_method","allocation_strategy","manuscript_role","N","alpha","nrep","variance_method","distribution","expected_analytic_match","truth_delta_AB_minus_A","truth_delta_AB_minus_B","plan_delta_AB_minus_A","plan_delta_AB_minus_B","margin_AB_minus_A","margin_AB_minus_B","sigma2_A","sigma2_B","sigma2_AB","allocation_A","allocation_B","allocation_AB","n_A","n_B","n_AB","true_null_AB_minus_A","true_null_AB_minus_B","cutoff_mean","cutoff_min","cutoff_max","empirical_joint_success","empirical_joint_success_lcl","empirical_joint_success_ucl","analytic_joint_success","planned_analytic_joint_success","joint_success_absolute_difference","empirical_any_true_reject","empirical_any_true_reject_lcl","empirical_any_true_reject_ucl","analytic_any_true_reject","empirical_false_full_contribution","empirical_false_full_contribution_lcl","empirical_false_full_contribution_ucl","analytic_false_full_contribution","empirical_marginal_power_AB_minus_A","empirical_marginal_power_AB_minus_B","analytic_marginal_power_AB_minus_A","analytic_marginal_power_AB_minus_B","seed"
"balanced_positive__alpha_0p025","balanced_positive","alternative","Balanced contribution effects under correctly planned effects","direct_delta",NA,NA,NA,"equal_iut_full","full_contribution","iut","equal","transparent equal-allocation full-contribution baseline",240,0.025,3000,"common","normal",TRUE,0.45,0.45,0.45,0.45,0,0,1,1,1,0.333333,0.333333,0.333333,80,80,80,FALSE,FALSE,1.959964,1.959964,1.959964,0.703,0.686649,0.719351,0.704031,0.704031,0.001031,NA,NA,NA,NA,NA,NA,NA,NA,0.811333,0.813,0.812214,0.812214,202610192
"balanced_positive__alpha_0p025","balanced_positive","alternative","Balanced contribution effects under correctly planned effects","direct_delta",NA,NA,NA,"plugin_iut_full","full_contribution","iut","plugin_joint_success","planned-effect allocation for the full-contribution IUT decision",240,0.025,3000,"common","normal",TRUE,0.45,0.45,0.45,0.45,0,0,1,1,1,0.333333,0.333333,0.333333,80,80,80,FALSE,FALSE,1.959964,1.959964,1.959964,0.687667,0.671083,0.704251,0.704031,0.704031,0.016364,NA,NA,NA,NA,NA,NA,NA,NA,0.794,0.797667,0.812214,0.812214,202610193
"balanced_positive__alpha_0p025","balanced_positive","alternative","Balanced contribution effects under correctly planned effects","direct_delta",NA,NA,NA,"conservative_iut_full","full_contribution","iut","conservative_joint_success","conservative planned-effect allocation for uncertain contribution inputs",240,0.025,3000,"common","normal",TRUE,0.45,0.45,0.45,0.45,0,0,1,1,1,0.333333,0.333333,0.333333,80,80,80,FALSE,FALSE,1.959964,1.959964,1.959964,0.706667,0.690374,0.722959,0.704031,0.704031,0.002636,NA,NA,NA,NA,NA,NA,NA,NA,0.812333,0.816,0.812214,0.812214,202610194
"balanced_positive__alpha_0p025","balanced_positive","alternative","Balanced contribution effects under correctly planned effects","direct_delta",NA,NA,NA,"marginal_iut_full","full_contribution","iut","marginal_power_comparator","diagnostic comparator that balances the weaker marginal contribution",240,0.025,3000,"common","normal",TRUE,0.45,0.45,0.45,0.45,0,0,1,1,1,0.333333,0.333333,0.333333,80,80,80,FALSE,FALSE,1.959964,1.959964,1.959964,0.704,0.687665,0.720335,0.704031,0.704031,3.1e-05,NA,NA,NA,NA,NA,NA,NA,NA,0.811667,0.817333,0.812214,0.812214,202610195
"balanced_positive__alpha_0p025","balanced_positive","alternative","Balanced contribution effects under correctly planned effects","direct_delta",NA,NA,NA,"equal_maxT_separate","separate_component_claims","maxT","equal","optional separate component-claim family-wise analysis",240,0.025,3000,"common","normal",TRUE,0.45,0.45,0.45,0.45,0,0,1,1,1,0.333333,0.333333,0.333333,80,80,80,FALSE,FALSE,2.212135,2.212135,2.212135,0.615,0.597587,0.632413,0.603361,0.603361,0.011639,NA,NA,NA,NA,NA,NA,NA,NA,0.737,0.748333,0.736932,0.736932,202610196
"limiting_AB_minus_A__alpha_0p025","limiting_AB_minus_A","alternative","One contribution is limiting and the planned vector is correct","direct_delta",NA,NA,NA,"equal_iut_full","full_contribution","iut","equal","transparent equal-allocation full-contribution baseline",260,0.025,3000,"common","normal",TRUE,0.28,0.55,0.28,0.55,0,0,1,1,1,0.333333,0.333333,0.333333,87,87,86,FALSE,FALSE,1.959964,1.959964,1.959964,0.439,0.421241,0.456759,0.44821,0.44821,0.00921,NA,NA,NA,NA,NA,NA,NA,NA,0.443333,0.951333,0.452803,0.951244,202611192
"limiting_AB_minus_A__alpha_0p025","limiting_AB_minus_A","alternative","One contribution is limiting and the planned vector is correct","direct_delta",NA,NA,NA,"plugin_iut_full","full_contribution","iut","plugin_joint_success","planned-effect allocation for the full-contribution IUT decision",260,0.025,3000,"common","normal",TRUE,0.28,0.55,0.28,0.55,0,0,1,1,1,0.39677,0.201108,0.402121,103,52,105,FALSE,FALSE,1.959964,1.959964,1.959964,0.498333,0.480441,0.516226,0.499475,0.499475,0.001142,NA,NA,NA,NA,NA,NA,NA,NA,0.52,0.912667,0.523544,0.900342,202611193
"limiting_AB_minus_A__alpha_0p025","limiting_AB_minus_A","alternative","One contribution is limiting and the planned vector is correct","direct_delta",NA,NA,NA,"conservative_iut_full","full_contribution","iut","conservative_joint_success","conservative planned-effect allocation for uncertain contribution inputs",260,0.025,3000,"common","normal",TRUE,0.28,0.55,0.28,0.55,0,0,1,1,1,0.36603,0.270401,0.363569,95,70,95,FALSE,FALSE,1.959964,1.959964,1.959964,0.477667,0.459792,0.495541,0.478501,0.478501,0.000834,NA,NA,NA,NA,NA,NA,NA,NA,0.484333,0.941333,0.487955,0.937201,202611194
"limiting_AB_minus_A__alpha_0p025","limiting_AB_minus_A","alternative","One contribution is limiting and the planned vector is correct","direct_delta",NA,NA,NA,"marginal_iut_full","full_contribution","iut","marginal_power_comparator","diagnostic comparator that balances the weaker marginal contribution",260,0.025,3000,"common","normal",TRUE,0.28,0.55,0.28,0.55,0,0,1,1,1,0.403847,0.192305,0.403847,105,50,105,FALSE,FALSE,1.959964,1.959964,1.959964,0.505667,0.487776,0.523558,0.500391,0.500391,0.005275,NA,NA,NA,NA,NA,NA,NA,NA,0.530667,0.895333,0.527437,0.892691,202611195
"limiting_AB_minus_A__alpha_0p025","limiting_AB_minus_A","alternative","One contribution is limiting and the planned vector is correct","direct_delta",NA,NA,NA,"equal_maxT_separate","separate_component_claims","maxT","equal","optional separate component-claim family-wise analysis",260,0.025,3000,"common","normal",TRUE,0.28,0.55,0.28,0.55,0,0,1,1,1,0.333333,0.333333,0.333333,87,87,86,FALSE,FALSE,2.211806,2.211806,2.211806,0.357333,0.340185,0.374482,0.34992,0.34992,0.007413,NA,NA,NA,NA,NA,NA,NA,NA,0.364,0.913,0.355533,0.920018,202611196
"limiting_AB_minus_B__alpha_0p025","limiting_AB_minus_B","alternative","The other contribution is limiting and the planned vector is correct","direct_delta",NA,NA,NA,"equal_iut_full","full_contribution","iut","equal","transparent equal-allocation full-contribution baseline",260,0.025,3000,"common","normal",TRUE,0.55,0.28,0.55,0.28,0,0,1,1,1,0.333333,0.333333,0.333333,87,87,86,FALSE,FALSE,1.959964,1.959964,1.959964,0.444333,0.426552,0.462114,0.44821,0.44821,0.003876,NA,NA,NA,NA,NA,NA,NA,NA,0.949,0.450333,0.951244,0.452803,202612192
"limiting_AB_minus_B__alpha_0p025","limiting_AB_minus_B","alternative","The other contribution is limiting and the planned vector is correct","direct_delta",NA,NA,NA,"plugin_iut_full","full_contribution","iut","plugin_joint_success","planned-effect allocation for the full-contribution IUT decision",260,0.025,3000,"common","normal",TRUE,0.55,0.28,0.55,0.28,0,0,1,1,1,0.201108,0.39677,0.402121,52,103,105,FALSE,FALSE,1.959964,1.959964,1.959964,0.526333,0.508466,0.544201,0.499475,0.499475,0.026858,NA,NA,NA,NA,NA,NA,NA,NA,0.911,0.546667,0.900342,0.523544,202612193
"limiting_AB_minus_B__alpha_0p025","limiting_AB_minus_B","alternative","The other contribution is limiting and the planned vector is correct","direct_delta",NA,NA,NA,"conservative_iut_full","full_contribution","iut","conservative_joint_success","conservative planned-effect allocation for uncertain contribution inputs",260,0.025,3000,"common","normal",TRUE,0.55,0.28,0.55,0.28,0,0,1,1,1,0.270401,0.36603,0.363569,70,95,95,FALSE,FALSE,1.959964,1.959964,1.959964,0.477667,0.459792,0.495541,0.478501,0.478501,0.000834,NA,NA,NA,NA,NA,NA,NA,NA,0.942333,0.483667,0.937201,0.487955,202612194
"limiting_AB_minus_B__alpha_0p025","limiting_AB_minus_B","alternative","The other contribution is limiting and the planned vector is correct","direct_delta",NA,NA,NA,"marginal_iut_full","full_contribution","iut","marginal_power_comparator","diagnostic comparator that balances the weaker marginal contribution",260,0.025,3000,"common","normal",TRUE,0.55,0.28,0.55,0.28,0,0,1,1,1,0.192305,0.403847,0.403847,50,105,105,FALSE,FALSE,1.959964,1.959964,1.959964,0.491333,0.473444,0.509223,0.500391,0.500391,0.009058,NA,NA,NA,NA,NA,NA,NA,NA,0.879,0.521,0.892691,0.527437,202612195
"limiting_AB_minus_B__alpha_0p025","limiting_AB_minus_B","alternative","The other contribution is limiting and the planned vector is correct","direct_delta",NA,NA,NA,"equal_maxT_separate","separate_component_claims","maxT","equal","optional separate component-claim family-wise analysis",260,0.025,3000,"common","normal",TRUE,0.55,0.28,0.55,0.28,0,0,1,1,1,0.333333,0.333333,0.333333,87,87,86,FALSE,FALSE,2.211806,2.211806,2.211806,0.375667,0.358336,0.392997,0.34992,0.34992,0.025747,NA,NA,NA,NA,NA,NA,NA,NA,0.925,0.381667,0.920018,0.355533,202612196
"positive_margin__alpha_0p025","positive_margin","margin_sensitivity","Both contributions must exceed a positive clinical margin","direct_delta",NA,NA,NA,"equal_iut_full","full_contribution","iut","equal","transparent equal-allocation full-contribution baseline",280,0.025,3000,"common","normal",TRUE,0.55,0.55,0.55,0.55,0.1,0.1,1,1,1,0.333333,0.333333,0.333333,94,93,93,FALSE,FALSE,1.959964,1.959964,1.959964,0.781667,0.766884,0.79645,0.782826,0.782826,0.00116,NA,NA,NA,NA,NA,NA,NA,NA,0.868667,0.864667,0.867965,0.866204,202613192
"positive_margin__alpha_0p025","positive_margin","margin_sensitivity","Both contributions must exceed a positive clinical margin","direct_delta",NA,NA,NA,"plugin_iut_full","full_contribution","iut","plugin_joint_success","planned-effect allocation for the full-contribution IUT decision",280,0.025,3000,"common","normal",TRUE,0.55,0.55,0.55,0.55,0.1,0.1,1,1,1,0.333333,0.333333,0.333333,94,93,93,FALSE,FALSE,1.959964,1.959964,1.959964,0.777667,0.762787,0.792546,0.782826,0.782826,0.00516,NA,NA,NA,NA,NA,NA,NA,NA,0.859667,0.865333,0.867965,0.866204,202613193
"positive_margin__alpha_0p025","positive_margin","margin_sensitivity","Both contributions must exceed a positive clinical margin","direct_delta",NA,NA,NA,"conservative_iut_full","full_contribution","iut","conservative_joint_success","conservative planned-effect allocation for uncertain contribution inputs",280,0.025,3000,"common","normal",TRUE,0.55,0.55,0.55,0.55,0.1,0.1,1,1,1,0.333333,0.333333,0.333333,94,93,93,FALSE,FALSE,1.959964,1.959964,1.959964,0.766667,0.751532,0.781802,0.782826,0.782826,0.01616,NA,NA,NA,NA,NA,NA,NA,NA,0.849,0.854,0.867965,0.866204,202613194
"positive_margin__alpha_0p025","positive_margin","margin_sensitivity","Both contributions must exceed a positive clinical margin","direct_delta",NA,NA,NA,"marginal_iut_full","full_contribution","iut","marginal_power_comparator","diagnostic comparator that balances the weaker marginal contribution",280,0.025,3000,"common","normal",TRUE,0.55,0.55,0.55,0.55,0.1,0.1,1,1,1,0.333333,0.333333,0.333333,94,93,93,FALSE,FALSE,1.959964,1.959964,1.959964,0.788333,0.773716,0.802951,0.782826,0.782826,0.005507,NA,NA,NA,NA,NA,NA,NA,NA,0.865,0.878667,0.867965,0.866204,202613195
"positive_margin__alpha_0p025","positive_margin","margin_sensitivity","Both contributions must exceed a positive clinical margin","direct_delta",NA,NA,NA,"equal_maxT_separate","separate_component_claims","maxT","equal","optional separate component-claim family-wise analysis",280,0.025,3000,"common","normal",TRUE,0.55,0.55,0.55,0.55,0.1,0.1,1,1,1,0.333333,0.333333,0.333333,94,93,93,FALSE,FALSE,2.211983,2.211983,2.211983,0.679,0.662294,0.695706,0.694592,0.694592,0.015592,NA,NA,NA,NA,NA,NA,NA,NA,0.794667,0.786,0.806426,0.804169,202613196
"unequal_variance_positive__alpha_0p025","unequal_variance_positive","variance_sensitivity","Correct effects with unequal arm variances and Welch standard errors","direct_delta",NA,NA,NA,"equal_iut_full","full_contribution","iut","equal","transparent equal-allocation full-contribution baseline",270,0.025,3000,"welch","normal",TRUE,0.45,0.45,0.45,0.45,0,0,1.4,1.2,0.9,0.333333,0.333333,0.333333,90,90,90,FALSE,FALSE,1.959964,1.959964,1.959964,0.716333,0.700202,0.732464,0.706423,0.706423,0.00991,NA,NA,NA,NA,NA,NA,NA,NA,0.813667,0.847667,0.803719,0.837928,202614192
"unequal_variance_positive__alpha_0p025","unequal_variance_positive","variance_sensitivity","Correct effects with unequal arm variances and Welch standard errors","direct_delta",NA,NA,NA,"plugin_iut_full","full_contribution","iut","plugin_joint_success","planned-effect allocation for the full-contribution IUT decision",270,0.025,3000,"welch","normal",TRUE,0.45,0.45,0.45,0.45,0,0,1.4,1.2,0.9,0.333333,0.333333,0.333333,90,90,90,FALSE,FALSE,1.959964,1.959964,1.959964,0.701333,0.684956,0.717711,0.706423,0.706423,0.00509,NA,NA,NA,NA,NA,NA,NA,NA,0.800333,0.834,0.803719,0.837928,202614193
"unequal_variance_positive__alpha_0p025","unequal_variance_positive","variance_sensitivity","Correct effects with unequal arm variances and Welch standard errors","direct_delta",NA,NA,NA,"conservative_iut_full","full_contribution","iut","conservative_joint_success","conservative planned-effect allocation for uncertain contribution inputs",270,0.025,3000,"welch","normal",TRUE,0.45,0.45,0.45,0.45,0,0,1.4,1.2,0.9,0.333333,0.333333,0.333333,90,90,90,FALSE,FALSE,1.959964,1.959964,1.959964,0.708667,0.692407,0.724926,0.706423,0.706423,0.002243,NA,NA,NA,NA,NA,NA,NA,NA,0.796667,0.845667,0.803719,0.837928,202614194
"unequal_variance_positive__alpha_0p025","unequal_variance_positive","variance_sensitivity","Correct effects with unequal arm variances and Welch standard errors","direct_delta",NA,NA,NA,"marginal_iut_full","full_contribution","iut","marginal_power_comparator","diagnostic comparator that balances the weaker marginal contribution",270,0.025,3000,"welch","normal",TRUE,0.45,0.45,0.45,0.45,0,0,1.4,1.2,0.9,0.333333,0.333333,0.333333,90,90,90,FALSE,FALSE,1.959964,1.959964,1.959964,0.686,0.669392,0.702608,0.706423,0.706423,0.020423,NA,NA,NA,NA,NA,NA,NA,NA,0.796,0.821,0.803719,0.837928,202614195
"unequal_variance_positive__alpha_0p025","unequal_variance_positive","variance_sensitivity","Correct effects with unequal arm variances and Welch standard errors","direct_delta",NA,NA,NA,"equal_maxT_separate","separate_component_claims","maxT","equal","optional separate component-claim family-wise analysis",270,0.025,3000,"welch","normal",TRUE,0.45,0.45,0.45,0.45,0,0,1.4,1.2,0.9,0.333333,0.333333,0.333333,90,90,90,FALSE,FALSE,2.220739,2.202705,2.230372,0.599,0.581462,0.616538,0.600648,0.600648,0.001648,NA,NA,NA,NA,NA,NA,NA,NA,0.728333,0.756333,0.723723,0.765754,202614196
"heavy_tail_global_null__alpha_0p025","heavy_tail_global_null","distribution_sensitivity","False full-contribution conclusion under modest nonnormality","direct_delta",NA,NA,NA,"equal_iut_full","full_contribution","iut","equal","transparent equal-allocation full-contribution baseline",300,0.025,3000,"common","t5",FALSE,0,0,0.45,0.45,0,0,1,1,1,0.333333,0.333333,0.333333,100,100,100,TRUE,TRUE,1.959964,1.959964,1.959964,0.005333,0.002727,0.00794,0.004622,0.8158,0.000711,0.048667,0.040967,0.056366,0.045378,0.005333,0.002727,0.00794,0.004622,0.025,0.029,0.025,0.025,202615192
"heavy_tail_global_null__alpha_0p025","heavy_tail_global_null","distribution_sensitivity","False full-contribution conclusion under modest nonnormality","direct_delta",NA,NA,NA,"plugin_iut_full","full_contribution","iut","plugin_joint_success","planned-effect allocation for the full-contribution IUT decision",300,0.025,3000,"common","t5",FALSE,0,0,0.45,0.45,0,0,1,1,1,0.333333,0.333333,0.333333,100,100,100,TRUE,TRUE,1.959964,1.959964,1.959964,0.004667,0.002228,0.007106,0.004622,0.8158,4.4e-05,0.056667,0.048393,0.06494,0.045378,0.004667,0.002228,0.007106,0.004622,0.033667,0.027667,0.025,0.025,202615193
"heavy_tail_global_null__alpha_0p025","heavy_tail_global_null","distribution_sensitivity","False full-contribution conclusion under modest nonnormality","direct_delta",NA,NA,NA,"conservative_iut_full","full_contribution","iut","conservative_joint_success","conservative planned-effect allocation for uncertain contribution inputs",300,0.025,3000,"common","t5",FALSE,0,0,0.45,0.45,0,0,1,1,1,0.333333,0.333333,0.333333,100,100,100,TRUE,TRUE,1.959964,1.959964,1.959964,0.004,0.001741,0.006259,0.004622,0.8158,0.000622,0.035333,0.028727,0.04194,0.045378,0.004,0.001741,0.006259,0.004622,0.021333,0.018,0.025,0.025,202615194
"heavy_tail_global_null__alpha_0p025","heavy_tail_global_null","distribution_sensitivity","False full-contribution conclusion under modest nonnormality","direct_delta",NA,NA,NA,"marginal_iut_full","full_contribution","iut","marginal_power_comparator","diagnostic comparator that balances the weaker marginal contribution",300,0.025,3000,"common","t5",FALSE,0,0,0.45,0.45,0,0,1,1,1,0.333333,0.333333,0.333333,100,100,100,TRUE,TRUE,1.959964,1.959964,1.959964,0.005,0.002476,0.007524,0.004622,0.8158,0.000378,0.044333,0.036968,0.051699,0.045378,0.005,0.002476,0.007524,0.004622,0.026667,0.022667,0.025,0.025,202615195
